"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Suppport Type","SupportCondition","SignShareSupport","SignAccessibility","Sign Name","SignHeighWidth","Sign size custom","Sign text","SignCondition","SignBackingMaterial","SignFaceDirection","Sign mounting height","Barcode","R02_BG","R02_FG","R05_BG","R05_FG","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
246,43.3755379446402,-79.74175477636345,52.30498046875,"WPT 246","Burlington ","0","hydro pole","Very good","No","No","speed","Default","","40","Very good","al","south","","","","","","","","","246","246_2017-10-23 17-03-14.png","/storage/emulated/0/MapIt/Pictures/Burlington /246/246_2017-10-23 17-03-14.png","2017-10-23-17-03-01","52.305","1.2422"
245,43.37586342981467,-79.74231210948165,58.97783203125,"WPT 245","Burlington ","Hampton heath","u channel","Very good","No","Yes","nopark","Default","","","Very good","al","south","88","","","","","","","","245","245_2017-10-23 17-01-01.png","/storage/emulated/0/MapIt/Pictures/Burlington /245/245_2017-10-23 17-01-01.png","2017-10-23-17-00-49","58.9778","0.5224"
244,43.37605523929051,-79.74265320619998,54.842578125,"WPT 244","Burlington ","0","2in metal pole","Very good","Yes","No","nostop left ","Default","","","Very good","al","south","","","","","","","","","","","","2017-10-23-16-58-35","54.8426","0.4609"
243,43.376079458346794,-79.74266536076175,55.40458984375,"WPT 243","Burlington ","0","hydro pole","Very good","No","No","nopark right","Default","","","Very good","al","south","","","","","","","","","243","243_2017-10-23 16-58-17.png","/storage/emulated/0/MapIt/Pictures/Burlington /243/243_2017-10-23 16-58-17.png","2017-10-23-16-57-59","55.4046","0.4334"
242,43.376064274484634,-79.74293884261715,54.777392578125,"WPT 242","Burlington ","0","2in metal pole","Very good","Yes","No","name ","Default","","norrie cr","Very good","al","south","","","","","","","","","","","","2017-10-23-16-56-41","54.7774","0.417"
241,43.376079641268916,-79.74293913938709,54.44755859375,"WPT 241","Burlington ","0","2in metal pole","Very good","No","No","name","Default","","Hampton heath rd","Very good","al","west","","","","","","","","","241","241_2017-10-23 16-56-15.png","/storage/emulated/0/MapIt/Pictures/Burlington /241/241_2017-10-23 16-56-15.png","2017-10-23-16-56-05","54.4476","0.5213"
240,43.37594278319739,-79.74287453577381,54.659228515625,"WPT 240","Burlington ","Hampton & norrie","u channel","Very good","No","Yes","stop","Default","","","Very good","al","west","77","b03833","154","549","93","298","","","240","240_2017-10-23 16-54-25.png","/storage/emulated/0/MapIt/Pictures/Burlington /240/240_2017-10-23 16-54-25.png","2017-10-23-16-54-12","54.6592","0.4866"
239,43.373064443528165,-79.74144828565295,52.98564453125,"WPT 239","Burlington ","0","u channel","Very good","No","No","noexit","Default","","no exit","Very good","al","east","","","","","","","","2017-10-23-16-49-58","239","239_2017-10-23 16-49-03.png","/storage/emulated/0/MapIt/Pictures/Burlington /239/239_2017-10-23 16-49-03.png","2017-10-23-16-48-38","52.9856","0.6013"
238,43.373003955979584,-79.74126427444207,50.698779296875,"WPT 238","Burlington ","duncombe & duncombe ","streetlight pole","Very good","No","No","name","Default","","duncombe crt","Very good","al","north","","","","","","","","","238","238_2017-10-23 16-48-09.png","/storage/emulated/0/MapIt/Pictures/Burlington /238/238_2017-10-23 16-48-09.png","2017-10-23-16-47-37","50.6988","0.914"
237,43.37256037480529,-79.74065224609876,55.02861328125,"WPT 237","Burlington ","0","2in metal pole","Very good","Yes","No","name ","Default","","duncombe Dr ","Very good","al","east","","","","","","","","","","","","2017-10-23-16-45-57","55.0286","0.6634"
236,43.37256613187128,-79.74064964761965,56.23564453125,"WPT 236","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Windermere dr","Good","al","north","","","","","","","","","","","","2017-10-23-16-45-33","56.2356","0.4805"
235,43.3725611937125,-79.74066429211234,52.786181640625,"WPT 235","Burlington ","Windermere & duncombe","2in metal pole","Very good","No","Yes","stop","Default","","","Very good","al","north","79","b03832","150","637","88.1","340","","","235","235_2017-10-23 16-44-11.png","/storage/emulated/0/MapIt/Pictures/Burlington /235/235_2017-10-23 16-44-11.png","2017-10-23-16-43-55","52.7862","0.6643"
234,43.37144433571302,-79.74163539150686,54.43974609375,"WPT 234","Burlington ","0","hydro pole","Less poor","No","Yes","school ahead","Default","48x24","","Very good","al","north","72","b03831","387","157","295","120","","","234","234_2017-10-23 16-39-02.png","/storage/emulated/0/MapIt/Pictures/Burlington /234/234_2017-10-23 16-39-02.png","2017-10-23-16-38-45","54.4397","0.8635"
233,43.37156929921002,-79.74154242356235,52.436328125,"WPT 233","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Windermere dr","Very good","al","south","","","","","","","","","","","","2017-10-23-16-37-18","52.4363","0.5664"
