"ObjectId","Lat","Lon","Alt","name","description","Street_Custom","Shared_Support?","Sign_Type","Suppport_Type","Support_Condition","Sign_Condition","Sign_Dimension","Sign_Dimension_Custom","Sign_Face_Direction","Sign_Backing_Material","Sign_Custom_Text","Sign_Mount_Height","Sign_Accessible?","Retro_ID","Barcode","R02_BG","R02_FG","R05_BG","R05_FG","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
857,43.37231197076744,-79.75382677096968,56.933154296875,"WPT 857","b2","pinedale and Sheraton","No","s40","u channel","Very Good","Very Good","Default","","east","al","","74","Yes","389","","0","0","0","0","","","857","857_2017-10-25 19-16-55.png","/storage/emulated/0/MapIt/Pictures/b2/857/857_2017-10-25 19-16-55.png","2017-10-25-19-16-42","56.9332","0.4985"
856,43.37243294018026,-79.75369885955843,58.0330078125,"WPT 856","b2","0","Yes","bump","2in metal pole","Very Good","Very Good","Default","","south","al","","88","Yes","388","","0","0","0","0","","","","","","2017-10-25-19-15-51","58.033","0.5636"
855,43.372444124639514,-79.7537034376819,57.506640625,"WPT 855","b2","0","Yes","bump","2in metal pole","Very Good","Very Good","Default","","north","al","","87","Yes","387","","0","0","0","0","","","","","","2017-10-25-19-14-49","57.5066","0.6162"
854,43.372447756440124,-79.75369939449229,58.0779296875,"WPT 854","b2","0","Yes","speedhumptab","2in metal pole","Very Good","Very Good","Default","","south","al","","0","Yes","386","","0","0","0","0","","2017-10-25-19-15-52","","","","2017-10-25-19-14-32","58.0779","0.5991"
853,43.37244861052022,-79.75370537092385,57.307421875,"WPT 853","b2","0","No","speedhumptab","u channel","Very Good","Very Good","Default","","north","al","","78","Yes","385","","0","0","0","0","","2017-10-25-19-15-41","853","853_2017-10-25 19-11-44.png","/storage/emulated/0/MapIt/Pictures/b2/853/853_2017-10-25 19-11-44.png","2017-10-25-19-11-40","57.3074","0.7085"
852,43.37267113736925,-79.75374506953631,56.769580078125,"WPT 852","b2","0","No","noparklr","2in metal pole","Very Good","Very Good","Default","","north","al","","0","Yes","","","0","0","0","0","","","852","852_2017-10-25 19-11-04.png","/storage/emulated/0/MapIt/Pictures/b2/852/852_2017-10-25 19-11-04.png","2017-10-25-19-10-55","56.7696","0.6875"
851,43.3731713214147,-79.75381330043092,57.462451171875,"WPT 851","b2","0","No","noparklr","streetlight pole","Very Good","Very Good","Default","","north","al","","0","Yes","","","0","0","0","0","","","","","","2017-10-25-19-09-54","57.4625","0.512"
850,43.37347275081993,-79.7538895040052,56.979052734375,"WPT 850","b2","0","No","noparklr","streetlight pole","Very Good","Very Good","Default","","north","al","","0","Yes","","","0","0","0","0","","","850","850_2017-10-25 19-08-59.png","/storage/emulated/0/MapIt/Pictures/b2/850/850_2017-10-25 19-08-59.png","2017-10-25-19-08-55","56.9791","0.5169"
849,43.373785675877116,-79.75396764464858,58.020556640625,"WPT 849","b2","0","Yes","nostoplr","2in metal pole","Very Good","Very Good","Default","","west","al","","0","Yes","","","0","0","0","0","","","","","","2017-10-25-19-08-04","58.0206","0.4278"
848,43.37378491483378,-79.75395822318569,57.7888671875,"WPT 848","b2","0","No","school","2in metal pole","Very Good","Very Good","Default","","west","al","","57","Yes","384","","0","0","0","0","","2017-10-25-19-08-27","848","848_2017-10-25 19-07-08.png","/storage/emulated/0/MapIt/Pictures/b2/848/848_2017-10-25 19-07-08.png","2017-10-25-19-06-52","57.7889","0.5537"
