"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Sign Names String","Support String","Sign Conditions String","Signs Sizes String","Signs Facing String","Signs Heights String","Signs RetroIDs String","Signs Backing String","Sign text","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
1821,43.36446347789024,-79.7516917759367,53.24296875,"WPT 1821","b3","cosburn and cottonwood","s n","2v","g","","nw","81","1140","al","","","2017-11-01-17-55-37","1821","1821_2017-11-01 17-54-34.png","/storage/emulated/0/MapIt/Pictures/b3/1821/1821_2017-11-01 17-54-34.png","2017-11-01-17-54-31","53.243","1.2165"
1820,43.364908677190215,-79.75237778924748,54.151904296875,"WPT 1820","b3","cosburn and rogers","s n n","2v","","","nw","","","al","","","","1820","1820_2017-11-01 17-52-27.png","/storage/emulated/0/MapIt/Pictures/b3/1820/1820_2017-11-01 17-52-27.png","2017-11-01-17-52-24","54.1519","0.6541"
1819,43.364645160243526,-79.75465355197412,54.74052734375,"WPT 1819","b3","Cosburn and  breckonwood","n n","2v","","","nw","","","al","","","","1819","1819_2017-11-01 17-50-48.png","/storage/emulated/0/MapIt/Pictures/b3/1819/1819_2017-11-01 17-50-48.png","2017-11-01-17-50-45","54.7405","0.7529"
1818,43.36366607840864,-79.75568615051816,54.507373046875,"WPT 1818","b3","tuck and cosburn","n n","2v","","","nw","","","al","","","","1818","1818_2017-11-01 17-49-42.png","/storage/emulated/0/MapIt/Pictures/b3/1818/1818_2017-11-01 17-49-42.png","2017-11-01-17-49-39","54.5074","0.7437"
1817,43.363183034190115,-79.75501146426541,56.463427734375,"WPT 1817","b3","tuck and rogers","s n n","2v","","","enw","80","1138","al","","","","1817","1817_2017-11-01 17-47-56.png","/storage/emulated/0/MapIt/Pictures/b3/1817/1817_2017-11-01 17-47-56.png","2017-11-01-17-47-52","56.4634","0.793"
1816,43.36259184315986,-79.75432631398508,53.60869140625,"WPT 1816","b3","0","s50b","uc","","","s","72","1137","al","","","","1816","1816_2017-11-01 17-46-02.png","/storage/emulated/0/MapIt/Pictures/b3/1816/1816_2017-11-01 17-46-02.png","2017-11-01-17-45-59","53.6087","0.6283"
1815,43.36259892567978,-79.75423850584593,52.9373046875,"WPT 1815","b3","tuck and cottonwood","s notruck n n","2v","","","ewnw","85 78","1135 1136","al","","","","1815","1815_2017-11-01 17-44-17.png","/storage/emulated/0/MapIt/Pictures/b3/1815/1815_2017-11-01 17-44-17.png","2017-11-01-17-44-14","52.9373","1.5444"
1814,43.362378828956025,-79.75419734732714,55.210498046875,"WPT 1814","b3","0","kidplay","uv","","","n","73","1134","al","","","","1814","1814_2017-11-01 17-42-48.png","/storage/emulated/0/MapIt/Pictures/b3/1814/1814_2017-11-01 17-42-48.png","2017-11-01-17-42-45","55.2105","0.752"
1813,43.36223540683659,-79.7540393792915,52.9412109375,"WPT 1813","b3","0","begintab s40","uv","","","nn","70 78","1132 1133","al","","","2017-11-01-17-41-43","1813","1813_2017-11-01 17-41-05.png","/storage/emulated/0/MapIt/Pictures/b3/1813/1813_2017-11-01 17-41-05.png","2017-11-01-17-41-02","52.9412","0.7483"
1812,43.36199563739592,-79.75348860280428,52.93681640625,"WPT 1812","b3","tuck and breckongate","s noexit n n","ll","","","eenw","","","al","","","","1812","1812_2017-11-01 17-38-45.png","/storage/emulated/0/MapIt/Pictures/b3/1812/1812_2017-11-01 17-38-45.png","2017-11-01-17-38-42","52.9368","0.7044"
1811,43.36145731448232,-79.75302684635062,54.10771484375,"WPT 1811","b3","0","nostoplr","uv","","","s","","","al","","","","1811","1811_2017-11-01 17-37-48.png","/storage/emulated/0/MapIt/Pictures/b3/1811/1811_2017-11-01 17-37-48.png","2017-11-01-17-37-45","54.1077","1.4827"
