Msrmt Number,0.2 Alpha Legend,0.5 Alpha Legend,0.2 Alpha Bkgrnd,0.5 Alpha Bkgrnd,Date/Time,Latitude,Longitude,Position Accuracy (m),Barcode,Standard Comments,User Comment
1, 81.8, 40.5, 86.6, 50.9, 10/23/2017 13:36:10, 43.373253N, 79.726145W, 11, ,, 
2,  1.6,  0.5,  109, 88.8, 10/23/2017 13:45:15, 43.372550N, 79.725848W, 11, ,, 
3, 28.9, 21.4,  136,  105, 10/23/2017 13:47:35, 43.372582N, 79.725762W, 11, ,, 
4,  441,  285,  102, 59.0, 10/23/2017 14:09:58, 43.377110N, 79.731613W, 11, ,, 
5,  458,  333,  160, 85.0, 10/23/2017 14:15:37, 43.377688N, 79.732435W, 11, ,, 
6,  606,  276,  145, 79.1, 10/23/2017 14:19:28, 43.377990N, 79.732883W, 11, ,, 
7,  353,  181,  141, 79.1, 10/23/2017 14:24:53, 43.378470N, 79.733300W, 11, ,, 
8,  554,  318,  165, 81.0, 10/23/2017 14:33:43, 43.378655N, 79.733662W, 11, ,, 
9,  536,  344,  149, 81.8, 10/23/2017 14:37:03, 43.378872N, 79.733958W, 11, ,, 
10,  446,  214,  136, 77.2, 10/23/2017 14:45:14, 43.378303N, 79.733527W, 11, ,, 
11, 28.9, 18.2,  102, 90.4, 10/23/2017 14:49:05, 43.378283N, 79.733555W, 11, ,, 
12,  629,  326,  179, 88.2, 10/23/2017 14:51:03, 43.378225N, 79.733500W, 11, ,, 
13,  596,  303,  170, 86.1, 10/23/2017 15:08:21, 43.376017N, 79.730633W, 11, ,, 
14, 18.0,  8.0, 90.4, 38.9, 10/23/2017 15:10:15, 43.375995N, 79.730503W, 11, ,, 
15,  616,  328,  174, 93.0, 10/23/2017 15:24:12, 43.374237N, 79.728108W, 11, ,, 
16, 18.0,  7.0, 95.8, 42.1, 10/23/2017 15:26:27, 43.374240N, 79.728100W, 11, ,, 
17,  590,  282,  130, 80.5, 10/23/2017 15:38:37, 43.373660N, 79.728625W, 11, ,, 
18,  0.0, -1.6,  110, 90.1, 10/23/2017 15:39:42, 43.373663N, 79.728655W, 11, ,, 
19,  0.8,  0.5,  119, 95.7, 10/23/2017 15:44:17, 43.373678N, 79.728557W, 11, ,, 
20,  543,  323,  147,  101, 10/23/2017 15:46:43, 43.373752N, 79.728878W, 11, ,, 
21,  487,  316,  169, 92.7, 10/23/2017 15:50:58, 43.372535N, 79.727070W, 11, ,, 
22,  376,  277,  0.8,  0.5, 10/23/2017 15:55:11, 43.375508N, 79.731010W, 11, ,, 
23,  415,  205,  157, 83.8, 10/23/2017 16:00:59, 43.375588N, 79.731315W, 11, ,, 
24,  538,  306,  167, 94.0, 10/23/2017 16:01:41, 43.375585N, 79.731317W, 11, ,, 
25,  656,  293,  160, 90.0, 10/23/2017 16:46:15, 43.373250N, 79.729488W, 11, ,, 
26,  686,  295,  156,  105, 10/23/2017 16:50:33, 43.375015N, 79.731752W, 11, ,, 
27,  196,  104,  672,  280, 10/23/2017 16:52:15, 43.375013N, 79.731755W, 11, ,, 
28,  655,  281,  166, 84.1, 10/23/2017 16:54:49, 43.375087N, 79.731827W, 11, ,, 
29, 99.8, 63.4,  585,  280, 10/23/2017 16:56:17, 43.375073N, 79.731833W, 11, ,, 
30,  581,  338,  132, 94.3, 10/23/2017 16:59:13, 43.375048N, 79.732188W, 11, ,, 
31,  196,  120,  657,  306, 10/23/2017 17:00:45, 43.375065N, 79.732187W, 11, ,, 
32,  578,  326,  153, 91.1, 10/23/2017 17:03:32, 43.375127N, 79.732048W, 11, ,, 
33,  185, 92.2,  469,  315, 10/23/2017 17:05:28, 43.375135N, 79.732048W, 11, ,, 
34,  650,  300,  135, 91.9, 10/23/2017 17:15:46, 43.376378N, 79.734820W, 11, ,, 
35,  631,  318,  135, 81.1, 10/23/2017 17:20:40, 43.376415N, 79.735112W, 11, ,, 
36, 16.7, 11.1,  375,  207, 10/23/2017 17:30:32, 43.376503N, 79.734738W, 11, ,, 
37,  9.6,  7.6,  134,  106, 10/23/2017 17:32:12, 43.376460N, 79.734723W, 11, ,, 
38, 30.3, 24.9,  113, 93.5, 10/23/2017 17:34:50, 43.376468N, 79.734732W, 11, ,, 
39,  0.8,  0.5, 50.2, 25.9, 10/23/2017 17:36:33, 43.376478N, 79.734737W, 11, ,, 
40, 26.4, 20.6,  133,  106, 10/23/2017 17:43:48, 43.376742N, 79.734473W, 11, ,, 
41,  2.4,  1.1,  581,  331, 10/23/2017 17:51:55, 43.377100N, 79.734450W, 11, ,, 
42,  581,  323, 87.6, 44.9, 10/23/2017 17:58:10, 43.377902N, 79.733785W, 11, ,, 
43, 68.7, 33.1, 12.0,  5.4, 10/23/2017 17:59:38, 43.377902N, 79.733772W, 11, ,, 
44, 69.5, 34.7, 21.6,  8.7, 10/23/2017 18:01:41, 43.378040N, 79.733808W, 11, ,, 
45,  116, 58.2, 13.5,  5.9, 10/23/2017 18:03:23, 43.378038N, 79.733812W, 11, ,, 
46,  121, 60.2, 13.6,  6.0, 10/23/2017 18:12:54, 43.377348N, 79.735383W, 11, ,, 
47,  509,  269,  153, 71.3, 10/23/2017 18:19:10, 43.379377N, 79.735847W, 11, ,, 
