"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Sign Names String","Support String","Sign Conditions String","Signs Sizes String","Signs Facing String","Signs Heights String","Signs RetroIDs String","Signs Backing String","Sign text","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
2233,43.51016684221304,-79.7499270573935,157.286181640625,"WPT 2233","h1","0","carpoolr","s6","","","n","87","1541","al","","","","2233","2233_2017-11-04 16-58-05.png","/storage/emulated/0/MapIt/Pictures/h1/2233/2233_2017-11-04 16-58-05.png","2017-11-04-16-58-03","157.2862","0.5818"
2232,43.51027289770991,-79.75004046519643,158.2498046875,"WPT 2232","h1","0","uptab uptab carpool go","s4v","ffgv","","nnnn","76 76 91 91","1537 1538 1539 1540","al","","","2017-11-05-23-16-53","2232","2232_2017-11-04 16-55-44.png","/storage/emulated/0/MapIt/Pictures/h1/2232/2232_2017-11-04 16-55-44.png","2017-11-04-16-55-42","158.2498","0.6756"
2231,43.51434190308373,-79.75417109729278,153.07060546875,"WPT 2231","h1","0","deer","s4","f","","n","73","1536","al","","","2017-11-04-16-54-31","2231","2231_2017-11-04 16-53-38.png","/storage/emulated/0/MapIt/Pictures/h1/2231/2231_2017-11-04 16-53-38.png","2017-11-04-16-53-37","153.0706","0.5509"
2230,43.51701734300059,-79.7564705316654,149.157763671875,"WPT 2230","h1","0","n","d4","g","","n","90","1535","al","","","2017-11-04-16-52-19","2230","2230_2017-11-04 16-51-47.png","/storage/emulated/0/MapIt/Pictures/h1/2230/2230_2017-11-04 16-51-47.png","2017-11-04-16-51-45","149.1578","0.6312"
2229,43.51744175927888,-79.75693299204613,148.046923828125,"WPT 2229","h1","0","lightahead","s4","","","n","74","1534","al","","","","2229","2229_2017-11-04 16-50-23.png","/storage/emulated/0/MapIt/Pictures/h1/2229/2229_2017-11-04 16-50-23.png","2017-11-04-16-50-22","148.0469","0.5181"
2228,43.52028923328635,-79.76075631467938,149.715869140625,"WPT 2228","h1","0","ol","ug","","","n","32","1533","al","","","","2228","2228_2017-11-04 16-48-43.png","/storage/emulated/0/MapIt/Pictures/h1/2228/2228_2017-11-04 16-48-43.png","2017-11-04-16-48-41","149.7159","0.6638"
2227,43.525282022354986,-79.76748818285523,149.2361328125,"WPT 2227","h1","0","vehiclesturningahead","s4v","f","","n","73","1532","al","","","2017-11-05-23-17-07","2227","2227_2017-11-04 16-46-09.png","/storage/emulated/0/MapIt/Pictures/h1/2227/2227_2017-11-04 16-46-09.png","2017-11-04-16-46-07","149.2361","0.5604"
2226,43.529078004042276,-79.7725503027632,149.02177734375,"WPT 2226","h1","0","nostopr","s4g","f","","n","","","al","","","","2226","2226_2017-11-04 16-44-40.png","/storage/emulated/0/MapIt/Pictures/h1/2226/2226_2017-11-04 16-44-40.png","2017-11-04-16-44-39","149.0218","0.5584"
2225,43.53282296962789,-79.77763149196835,148.815966796875,"WPT 2225","h1","0","bothdirection stopforbus 2000fine","d6","","","nnn","52 68","1530 1531","w w w","","","","2225","2225_2017-11-04 16-41-58.png","/storage/emulated/0/MapIt/Pictures/h1/2225/2225_2017-11-04 16-41-58.png","2017-11-04-16-41-57","148.816","0.5167"
2224,43.53353267770126,-79.77858353614829,148.619921875,"WPT 2224","h1","0","begintab s80","ul","","","nn","75 86","1528 1529","al","","","","2224","2224_2017-11-04 16-39-29.png","/storage/emulated/0/MapIt/Pictures/h1/2224/2224_2017-11-04 16-39-29.png","2017-11-04-16-39-28","148.6199","0.5668"
2223,43.53461758875437,-79.78007068766965,146.59404296875,"WPT 2223","h1","0","deer noparkr","s4g","","","nn","62","1527","al","","","","2223","2223_2017-11-04 16-38-05.png","/storage/emulated/0/MapIt/Pictures/h1/2223/2223_2017-11-04 16-38-05.png","2017-11-04-16-38-03","146.594","0.6837"
2222,43.53502714555725,-79.78060492006807,147.85234375,"WPT 2222","h1","0","s60 noparklr","tf","gv","","nn","61","1526","al","","","","2222","2222_2017-11-04 16-36-42.png","/storage/emulated/0/MapIt/Pictures/h1/2222/2222_2017-11-04 16-36-42.png","2017-11-04-16-36-41","147.8523","0.5049"
2221,43.535916317198826,-79.78188292483719,151.43681640625,"WPT 2221","h1","0","noparklr","tl","f","","n","","","al","","","","2221","2221_2017-11-04 16-34-23.png","/storage/emulated/0/MapIt/Pictures/h1/2221/2221_2017-11-04 16-34-23.png","2017-11-04-16-34-21","151.4368","0.5126"
2220,43.53629906629703,-79.78231927655725,147.267626953125,"WPT 2220","h1","0","noparkl","lv","","","n","","","al","","","","2220","2220_2017-11-04 16-33-14.png","/storage/emulated/0/MapIt/Pictures/h1/2220/2220_2017-11-04 16-33-14.png","2017-11-04-16-33-13","147.2676","0.52"
2219,43.53657718130671,-79.78273184316458,146.88505859375,"WPT 2219","h1","0","lightahead","s4","f","","","70","1525","al","","","2017-11-04-16-32-57","2219","2219_2017-11-04 16-32-05.png","/storage/emulated/0/MapIt/Pictures/h1/2219/2219_2017-11-04 16-32-05.png","2017-11-04-16-32-04","146.8851","0.5253"
2218,43.537436256094225,-79.78391583978373,142.46904296875,"WPT 2218","h1","0","roadname","s4","g","","n","","","al","","","","2218","2218_2017-11-04 16-31-11.png","/storage/emulated/0/MapIt/Pictures/h1/2218/2218_2017-11-04 16-31-11.png","2017-11-04-16-31-10","142.469","0.5452"
2217,43.537923021635834,-79.78458175029118,144.85380859375,"WPT 2217","h1","0","or gw","uv","","","sn","22 54","1523 1524","al","","","","2217","2217_2017-11-04 16-29-58.png","/storage/emulated/0/MapIt/Pictures/h1/2217/2217_2017-11-04 16-29-58.png","2017-11-04-16-29-56","144.8538","0.5975"
2216,43.53884221244516,-79.78580730380054,141.58134765625,"WPT 2216","h1","0","ol gw","uv","","","nn","22 54","1521 1522","al","","","","2216","2216_2017-11-04 16-28-42.png","/storage/emulated/0/MapIt/Pictures/h1/2216/2216_2017-11-04 16-28-42.png","2017-11-04-16-28-41","141.5813","0.5252"
2215,43.53898111667149,-79.78597620935943,142.322802734375,"WPT 2215","h1","0","s60","s4","","","n","88","1520","al","","","","2215","2215_2017-11-04 16-27-41.png","/storage/emulated/0/MapIt/Pictures/h1/2215/2215_2017-11-04 16-27-41.png","2017-11-04-16-27-40","142.3228","0.5593"
2214,43.539780751318176,-79.78713183656328,146.952685546875,"WPT 2214","h1","0","gw","uv","","","n","49","1519","al","","","","2214","2214_2017-11-04 16-26-38.png","/storage/emulated/0/MapIt/Pictures/h1/2214/2214_2017-11-04 16-26-38.png","2017-11-04-16-26-37","146.9527","0.4845"
2213,43.53975954989892,-79.78712100392477,147.8220703125,"WPT 2213","h1","0","s60","hv","","","n","","","al","","","","2213","2213_2017-11-04 16-26-03.png","/storage/emulated/0/MapIt/Pictures/h1/2213/2213_2017-11-04 16-26-03.png","2017-11-04-16-26-02","147.8221","0.6173"
2212,43.540526745179704,-79.78826631596348,149.606494140625,"WPT 2212","h1","0","centrelaneonly","s6l","","","n","77","1518","al","","","2017-11-04-16-25-25","2212","2212_2017-11-04 16-25-18.png","/storage/emulated/0/MapIt/Pictures/h1/2212/2212_2017-11-04 16-25-18.png","2017-11-04-16-24-21","149.6065","0.4965"
2211,43.54104535877559,-79.78900209964013,146.604296875,"WPT 2211","h1","0","ol gw","ug","","","nn","20 53","1516 1517","al","","","2017-11-04-16-23-54","2211","2211_2017-11-04 16-22-50.png","/storage/emulated/0/MapIt/Pictures/h1/2211/2211_2017-11-04 16-22-50.png","2017-11-04-16-22-49","146.6043","0.5571"
2210,43.54146713227237,-79.7897243590578,149.964892578125,"WPT 2210","h1","0","s","s4g","","","w","83","1515","al","","","","2210","2210_2017-11-04 16-21-37.png","/storage/emulated/0/MapIt/Pictures/h1/2210/2210_2017-11-04 16-21-37.png","2017-11-04-16-21-35","149.9649","0.4989"
2209,43.541667781793876,-79.78995012423547,149.90068359375,"WPT 2209","h1","0","centrelaneonly","s6l","f","","n","72","1514","al","","","","2209","2209_2017-11-04 16-20-13.png","/storage/emulated/0/MapIt/Pictures/h1/2209/2209_2017-11-04 16-20-13.png","2017-11-04-16-20-11","149.9007","0.5014"
2208,43.54279291434614,-79.79141031971085,148.948046875,"WPT 2208","h1","0","centrelaneonly","s6","","","n","73","1513","al","","","","2208","2208_2017-11-04 16-18-54.png","/storage/emulated/0/MapIt/Pictures/h1/2208/2208_2017-11-04 16-18-54.png","2017-11-04-16-18-53","148.948","0.4726"
2207,43.542923032649924,-79.79167940305342,151.12822265625,"WPT 2207","h1","0","s","s4","","","w","81","1512","al","","","","2207","2207_2017-11-04 16-17-54.png","/storage/emulated/0/MapIt/Pictures/h1/2207/2207_2017-11-04 16-17-54.png","2017-11-04-16-17-53","151.1282","0.5756"
2206,43.543160852129404,-79.79195186686229,151.601123046875,"WPT 2206","h1","0","s60k","hv","","","n","84","1511","al","","","","2206","2206_2017-11-04 16-16-48.png","/storage/emulated/0/MapIt/Pictures/h1/2206/2206_2017-11-04 16-16-48.png","2017-11-04-16-16-46","151.6011","0.7523"
2205,43.543697696406525,-79.79257466071249,149.59208984375,"WPT 2205","h1","0","or gw","uv","","","s n","18 52","1509 1510","al","","","2017-11-05-23-03-02","2205","2205_2017-11-04 16-15-13.png","/storage/emulated/0/MapIt/Pictures/h1/2205/2205_2017-11-04 16-15-13.png","2017-11-04-16-15-11","149.5921","0.5191"
2204,43.54474155594744,-79.79392749187718,142.229052734375,"WPT 2204","h1","0","ol","uv","f","","n","28","1508","al","","","2017-11-04-16-14-28","2204","2204_2017-11-04 16-13-45.png","/storage/emulated/0/MapIt/Pictures/h1/2204/2204_2017-11-04 16-13-45.png","2017-11-04-16-13-43","142.2291","0.6011"
